,Date,Company,Ticker,Managers,Offer Price,Opening Price,1st Day Close,1st Day % Chg,$ Chg Open,$ Chg Close,Star Rating,Performed,Year,Month,Day,Day of Week,1st Day Open to Close % Chg,1st Day Open to Close $ Chg
148,2020-08-05,BowX Acquisition ,BOWXU,UBS Investment Bank,10.0,10.02,10.03,0.002999999999999936,0.019999999999999574,0.02999999999999936,1.0,,2020,8,5,2,0.0009980039920159467,0.009999999999999787
149,2020-08-05,Holicity ,HOLUU,Deutsche Bank Securities/ BofA Securities,10.0,10.01,10.01,0.0009999999999999788,0.009999999999999787,0.009999999999999787,1.0,,2020,8,5,2,0.0,0.0
150,2020-08-06,Gores Holdings V ,GRSVU,Deutsche Bank Securities/ Morgan Stanley,10.0,10.06,10.08,0.008000000000000007,0.0600000000000005,0.08000000000000007,1.0,,2020,8,6,3,0.0019880715705764985,0.019999999999999574
151,2020-08-06,Kismet Acquisition One ,KSMTU,Credit Suisse/ BofA Securities,10.0,10.0,9.98,-0.0019999999999999575,0.0,-0.019999999999999574,1.0,,2020,8,6,3,-0.0019999999999999575,-0.019999999999999574
152,2020-08-06,Acutus Medical ,AFIB,J.P. Morgan/ BofA Securities/ William Blair,18.0,24.11,26.5,0.4722222222222222,6.109999999999999,8.5,2.0,Missed,2020,8,6,3,0.09912899211945253,2.3900000000000006
153,2020-08-06,Oak Street Health ,OSH,J.P. Morgan/ Goldman Sachs/ Morgan Stanley,21.0,42.5,40.0,0.9047619047619048,21.5,19.0,3.0,,2020,8,6,3,-0.058823529411764705,-2.5
154,2020-08-06,Rocket Companies,RKT,Goldman Sachs/ Morgan Stanley/ Credit Suisse/ J.P. Morgan RBC Capital Markets,18.0,18.0,21.51,0.1950000000000001,0.0,3.5100000000000016,1.0,,2020,8,6,3,0.1950000000000001,3.5100000000000016
155,2020-08-07,ARYA Sciences Acquisition Corp III ,ARYA,Jefferies/ Goldman Sachs,10.0,10.5,10.44,0.04399999999999995,0.5,0.4399999999999995,1.0,,2020,8,7,4,-0.005714285714285762,-0.0600000000000005
156,2020-08-07,Checkmate Pharmaceuticals ,CMPI,BofA Securities/ Jefferies/ BMO Capital Markets,15.0,14.5,14.0,-0.06666666666666667,-0.5,-1.0,3.0,Missed,2020,8,7,4,-0.034482758620689655,-0.5
157,2020-08-07,Freeline Therapeutics Holdings plc ,FRLN,J.P. Morgan/ Morgan Stanley/ Evercore ISI,18.0,18.5,18.0,0.0,0.5,0.0,2.0,,2020,8,7,4,-0.02702702702702703,-0.5
158,2020-08-07,IBEX Ltd. ,IBEX,Citigroup/ RBC Capital Markets/ Baird,19.0,18.0,15.4,-0.1894736842105263,-1.0,-3.5999999999999996,1.0,,2020,8,7,4,-0.14444444444444443,-2.5999999999999996
159,2020-08-07,Vistas Media Acquisition ,VMACU, I-Bankers Securities,10.0,9.95,9.95,-0.005000000000000071,-0.05000000000000071,-0.05000000000000071,1.0,,2020,8,7,4,0.0,0.0
160,2020-08-12,Fortress Value Acquisition Corp. II (FAII.U) (u),FAII.U,Deutsche Bank Securities/ Morgan Stanley/ BofA Securities,10.0,10.12,10.17,0.016999999999999994,0.11999999999999922,0.16999999999999993,1.0,,2020,8,12,2,0.004940711462450663,0.05000000000000071
161,2020-08-12,Kubient ,KBNT/KBnth,Maxim Group/ Joseph Gunnar,5.0,5.0,5.07,0.014000000000000058,0.0,0.07000000000000028,1.0,,2020,8,12,2,0.014000000000000058,0.07000000000000028
162,2020-08-13,FS Development ,FSDC,Jefferies,10.0,10.25,10.3,0.030000000000000072,0.25,0.3000000000000007,1.0,,2020,8,13,3,0.004878048780487874,0.05000000000000071
163,2020-08-13,KE Holdings ,BEKE,Goldman Sachs/ Morgan Stanley/ China Renaissance,20.0,35.06,37.44,0.8719999999999999,15.060000000000002,17.439999999999998,3.0,,2020,8,13,3,0.06788362806617214,2.3799999999999955
164,2020-08-13,NetSTREIT Corp.,NTST,Wells Fargo Securities/ BofA Securities/ Citigroup/ Stifel/ Jefferies,18.0,18.0,17.7,-0.016666666666666705,0.0,-0.3000000000000007,1.0,,2020,8,13,3,-0.016666666666666705,-0.3000000000000007
165,2020-08-14,RedBall Acquisition ,RBAC.U,Goldman Sachs,10.0,10.25,10.16,0.016000000000000014,0.25,0.16000000000000014,1.0,,2020,8,14,4,-0.008780487804878036,-0.08999999999999986
166,2020-08-14,CureVac N.V. ,CVAC,BofA Securities/ Jefferies/ Credit Suisse,16.0,44.0,55.9,2.49375,28.0,39.9,2.0,Missed,2020,8,14,4,0.27045454545454545,11.899999999999999
167,2020-08-14,dMY Technology Group ,DYM.U,UBS Investment Bank,10.0,10.05,10.1,0.009999999999999964,0.05000000000000071,0.09999999999999964,1.0,,2020,8,14,4,0.004975124378109346,0.049999999999998934
168,2020-08-14,Dragoneer Growth Opportunities ,DGNR.U,Citigroup/ Goldman Sachs/ J.P. Morgan,10.0,10.6,10.68,0.06799999999999998,0.5999999999999996,0.6799999999999997,1.0,,2020,8,14,4,0.007547169811320762,0.08000000000000007
169,2020-08-14,Duck Creek Technologies ,DCT,Goldman Sachs/ J.P. Morgan/ BofA Securities/ Barclays/ RBC Capital Markets,27.0,42.0,40.0,0.48148148148148145,15.0,13.0,3.0,,2020,8,14,4,-0.047619047619047616,-2.0
170,2020-08-14,Lionheart Acquisition Corp. II ,LCAPU,Nomura/ Cantor,10.0,9.99,9.97,-0.002999999999999936,-0.009999999999999787,-0.02999999999999936,1.0,,2020,8,14,4,-0.0020020020020019595,-0.019999999999999574
171,2020-08-18,Northern Genesis Acquisition ,NGA.U,Raymond James/ EarlyBirdCapita,10.0,10.0,10.0,0.0,0.0,0.0,1.0,,2020,8,18,1,0.0,0.0
172,2020-08-18,one ,AONE.U,Goldman Sachs,10.0,10.15,10.1,0.009999999999999964,0.15000000000000036,0.09999999999999964,1.0,,2020,8,18,1,-0.004926108374384306,-0.05000000000000071
173,2020-08-18,Star Peak Energy Transition ,STPK.U,Credit Suisse/ Goldman Sachs,10.0,10.01,10.0,0.0,0.009999999999999787,0.0,1.0,,2020,8,18,1,-0.0009990009990009777,-0.009999999999999787
174,2020-08-19,Harmony Biosciences Holdings ,HRMY,Goldman Sachs/ Jefferies/ Piper Sandle,24.0,39.99,37.01,0.5420833333333333,15.990000000000002,13.009999999999998,3.0,,2020,8,19,2,-0.07451862965741445,-2.980000000000004
175,2020-08-19,Inhibrx ,IBNX,Jefferies/ Evercore ISI/ Credit Suisse,17.0,22.1,20.63,0.21352941176470583,5.100000000000001,3.629999999999999,2.0,,2020,8,19,2,-0.06651583710407251,-1.4700000000000024
176,2020-08-21,Colonnade Acquisition ,CLA.U,BTIG,10.0,9.95,9.92,-0.008000000000000007,-0.05000000000000071,-0.08000000000000007,1.0,,2020,8,21,4,-0.0030150753768843582,-0.02999999999999936
177,2020-08-21,FAST Acquisition ,FST.U,Citigroup/ UBS Investment Bank,10.0,9.96,9.93,-0.007000000000000029,-0.03999999999999915,-0.07000000000000028,1.0,,2020,8,21,4,-0.003012048192771198,-0.030000000000001137
178,2020-08-21,Foley Trasimene Acquisition II ,BFT.U,Credit Suisse/ BofA Securities,10.0,10.01,10.0,0.0,0.009999999999999787,0.0,1.0,,2020,8,21,4,-0.0009990009990009777,-0.009999999999999787
179,2020-08-21,Forum Merger III . ,FIII.U,Jefferies,10.0,10.0,10.0,0.0,0.0,0.0,1.0,,2020,8,21,4,0.0,0.0
180,2020-08-21,Horizon Acquisition,HZAC.U,Credit Suisse,10.0,10.0,10.0,0.0,0.0,0.0,1.0,,2020,8,21,4,0.0,0.0
181,2020-08-21,Kymera Therapeutics ,KYMR,Morgan Stanley/ BofA Securities/ Cowen/ Guggenheim Securities,20.0,35.0,33.26,0.6629999999999999,15.0,13.259999999999998,3.0,,2020,8,21,4,-0.04971428571428577,-1.740000000000002
